IID,projection
1944042,10.592363308635502
5412938,9.59751343735073
1298272,9.489575310421381
4868082,9.361063162193616
4891591,9.207917442128753
2889936,9.158387226074215
2104478,8.998772697529892
2002996,8.988242724325328
4012800,8.981441140613175
1002188,8.933650733293499
1914514,8.922455379922026
4155325,8.897711117150761
3423099,8.892444737892971
4198977,8.772579334780767
3285763,8.768941067918291
2342591,8.747880730502576
2876121,8.704335017393799
4562336,8.665508496912928
1111996,8.637270545884094
5764348,8.597568886574376
3300813,8.588092356877887
1983754,8.516681494683057
3544552,8.50490281198835
5561814,8.489084899010033
5366744,8.473453475526341
1678907,8.438128396743105
1097966,8.43768419294697
5260679,8.436371199132623
2218428,8.418895261386485
3096057,8.347432339993604
5519125,8.334664235978282
4924154,8.307105033480585
3166843,8.292974861296832
4218109,8.267839950521275
1307772,8.261419321849052
2013424,8.255222936218818
5945955,8.230719833545425
1585293,8.220072612714082
2982262,8.215314112161531
5275841,8.158316002459099
2798526,8.132763623275352
1681182,8.130205309437915
5467254,8.128382041262482
2112974,8.093132784784931
2178373,8.08543746350776
5210107,8.067767052480503
4335722,8.054204006786652
5972966,8.045705305703265
3624059,8.001697876553715
1722794,7.940483576185436
2928978,7.93129773166364
2113890,7.926020681853189
2022764,7.893925572060777
3912209,7.89111359881256
4963324,7.8657915495026485
3746248,7.775802829823238
4454609,7.7674176684187515
3669981,7.750370538987575
3773570,7.7389684771290295
5692347,7.731495395194775
3847776,7.73096280212991
2643849,7.709902984855783
2963094,7.694506702511214
2043668,7.656045444727762
2477570,7.645832089132115
4707895,7.622928715057091
4874299,7.609302274534414
3533657,7.605056768961378
2554975,7.594864270060009
3202857,7.586393119503033
2904986,7.582611423670162
5831479,7.577817513704122
1362805,7.577414206104125
4464429,7.560505825366931
1304932,7.544407808314828
5445040,7.541714735008526
4726050,7.541674016630487
1924673,7.511676583816412
5280222,7.507119015346996
2247090,7.5034214231880005
2953677,7.501601345732106
5186621,7.49789275308875
2899706,7.4976230120147385
2308475,7.494828526219991
1202991,7.486040051424595
5468814,7.485754020023779
4910545,7.4840844973037495
1299895,7.475691387718184
4388106,7.463899524991857
2643919,7.440095556931865
5469787,7.435085034471235
5932034,7.4244960640265285
2010491,7.4244836353363315
1692050,7.416192720752647
2939835,7.404765274290958
3504637,7.397694095832662
2177169,7.393003591916198
3925503,7.375074079212692
3791185,7.371712117537833
3963160,7.367285817684247
4021775,7.3557685954615515
1464760,7.353650584792276
5782466,7.352822107755679
4576127,7.346031012403869
5482949,7.327796077920124
5949494,7.324518794862819
